date,vix,vix9d
2016-07-29,11.870000,10.010000
2016-08-01,12.440000,11.100000
2016-08-02,13.370000,12.350000
2016-08-03,12.860000,11.290000
2016-08-04,12.420000,10.800000
2016-08-05,11.390000,9.180000
2016-08-08,11.500000,10.100000
2016-08-09,11.660000,10.490000
2016-08-10,12.050000,10.680000
2016-08-11,11.680000,9.740000
2016-08-12,11.550000,9.540000
2016-08-15,11.810000,9.720000
2016-08-16,12.640000,10.870000
2016-08-17,12.190000,10.760000
2016-08-18,11.430000,9.900000
2016-08-19,11.340000,9.400000
2016-08-22,12.270000,10.950000
2016-08-23,12.380000,11.370000
2016-08-24,13.450000,12.670000
2016-08-25,13.630000,12.770000
2016-08-26,13.650000,12.100000
2016-08-29,12.940000,11.140000
2016-08-30,13.120000,11.210000
2016-08-31,13.420000,11.640000
2016-09-01,13.480000,11.890000
2016-09-02,11.980000,9.100000
2016-09-06,12.020000,9.980000
2016-09-07,11.940000,9.800000
2016-09-08,12.510000,10.990000
2016-09-09,17.500000,18.780000
2016-09-12,15.160000,16.030000
2016-09-13,17.850000,19.550000
2016-09-14,18.140000,19.380000
2016-09-15,16.300000,17.000000
2016-09-16,15.370000,15.270000
2016-09-19,15.530000,16.310000
2016-09-20,15.920000,17.220000
2016-09-21,13.300000,12.830000
2016-09-22,12.020000,10.790000
2016-09-23,12.290000,11.390000
2016-09-26,14.500000,15.670000
2016-09-27,13.100000,12.800000
2016-09-28,12.390000,11.720000
2016-09-29,14.020000,14.710000
2016-09-30,13.290000,12.370000
2016-10-03,13.570000,13.000000
2016-10-04,13.630000,12.950000
2016-10-05,12.990000,12.030000
2016-10-06,12.840000,11.470000
2016-10-07,13.480000,11.470000
2016-10-10,13.380000,10.810000
2016-10-11,15.360000,13.340000
2016-10-12,15.910000,13.160000
2016-10-13,16.690000,14.070000
2016-10-14,16.120000,12.940000
2016-10-17,16.210000,13.810000
2016-10-18,15.280000,12.450000
2016-10-19,14.410000,11.970000
2016-10-20,13.750000,11.070000
2016-10-21,13.340000,10.680000
2016-10-24,13.020000,11.350000
2016-10-25,13.460000,11.900000
2016-10-26,14.240000,12.580000
2016-10-27,15.360000,14.590000
2016-10-28,16.190000,16.690000
2016-10-31,17.060000,20.190000
2016-11-01,18.560000,22.860000
2016-11-02,19.320000,24.160000
2016-11-03,22.080000,27.900000
2016-11-04,22.510000,28.820000
2016-11-07,18.710000,24.670000
2016-11-08,18.740000,25.310000
2016-11-09,14.380000,15.360000
2016-11-10,14.740000,14.120000
2016-11-11,14.170000,12.840000
2016-11-14,14.480000,12.510000
2016-11-15,13.370000,10.640000
2016-11-16,13.720000,9.520000
2016-11-17,13.350000,9.380000
2016-11-18,12.850000,8.630000
2016-11-21,12.420000,10.000000
2016-11-22,12.410000,10.200000
2016-11-23,12.430000,10.060000
2016-11-25,12.340000,10.430000
2016-11-28,13.150000,12.860000
2016-11-29,12.900000,12.640000
2016-11-30,13.330000,13.230000
2016-12-01,14.070000,13.960000
2016-12-02,14.120000,13.640000
2016-12-05,12.140000,11.410000
2016-12-06,11.790000,10.840000
2016-12-07,12.220000,11.790000
2016-12-08,12.640000,12.920000
2016-12-09,11.750000,11.100000
2016-12-12,12.640000,12.250000
2016-12-13,12.720000,12.250000
2016-12-14,13.190000,12.840000
2016-12-15,12.790000,11.850000
2016-12-16,12.200000,10.670000
2016-12-19,11.710000,9.950000
2016-12-20,11.450000,9.850000
2016-12-21,11.270000,9.330000
2016-12-22,11.430000,9.340000
2016-12-23,11.440000,8.980000
2016-12-27,11.990000,10.220000
2016-12-28,12.950000,11.220000
2016-12-29,13.370000,11.640000
2016-12-30,14.040000,12.680000
2017-01-03,12.850000,11.990000
2017-01-04,11.850000,10.680000
2017-01-05,11.670000,9.950000
2017-01-06,11.320000,9.190000
2017-01-09,11.560000,9.440000
2017-01-10,11.490000,8.880000
2017-01-11,11.260000,8.880000
2017-01-12,11.540000,9.320000
2017-01-13,11.230000,8.990000
2017-01-17,11.870000,10.850000
2017-01-18,12.480000,11.290000
2017-01-19,12.780000,11.500000
2017-01-20,11.540000,9.720000
2017-01-23,11.770000,10.920000
2017-01-24,11.070000,10.080000
2017-01-25,10.810000,10.060000
2017-01-26,10.630000,9.710000
2017-01-27,10.580000,9.360000
2017-01-30,11.880000,11.660000
2017-01-31,11.990000,11.770000
2017-02-01,11.810000,12.040000
2017-02-02,11.930000,11.160000
2017-02-03,10.970000,9.190000
2017-02-06,11.370000,10.170000
2017-02-07,11.290000,9.470000
2017-02-08,11.450000,9.600000
2017-02-09,10.880000,8.850000
2017-02-10,10.850000,9.020000
2017-02-13,11.070000,9.320000
2017-02-14,10.740000,8.940000
2017-02-15,11.970000,10.260000
2017-02-16,11.760000,10.020000
2017-02-17,11.490000,9.030000
2017-02-21,11.570000,10.220000
2017-02-22,11.740000,10.390000
2017-02-23,11.710000,10.150000
2017-02-24,11.470000,9.410000
2017-02-27,12.090000,10.830000
2017-02-28,12.920000,11.890000
2017-03-01,12.540000,10.570000
2017-03-02,11.810000,9.600000
2017-03-03,10.960000,8.560000
2017-03-06,11.240000,9.670000
2017-03-07,11.450000,10.230000
2017-03-08,11.860000,10.910000
2017-03-09,12.300000,11.780000
2017-03-10,11.660000,10.670000
2017-03-13,11.350000,10.780000
2017-03-14,12.300000,11.780000
2017-03-15,11.630000,10.760000
2017-03-16,11.210000,9.740000
2017-03-17,11.280000,9.870000
2017-03-20,11.340000,10.230000
2017-03-21,12.470000,14.230000
2017-03-22,12.810000,14.510000
2017-03-23,13.120000,15.140000
2017-03-24,12.960000,13.430000
2017-03-27,12.500000,12.120000
2017-03-28,11.530000,10.510000
2017-03-29,11.420000,10.080000
2017-03-30,11.540000,9.580000
2017-03-31,12.370000,9.660000
2017-04-03,12.380000,10.160000
2017-04-04,11.790000,9.510000
2017-04-05,12.890000,11.890000
2017-04-06,12.390000,10.270000
2017-04-07,12.870000,10.060000
2017-04-10,14.050000,10.360000
2017-04-11,15.070000,10.540000
2017-04-12,15.770000,10.910000
2017-04-13,15.960000,12.750000
2017-04-17,14.660000,13.440000
2017-04-18,14.420000,14.200000
2017-04-19,14.930000,16.200000
2017-04-20,14.150000,15.830000
2017-04-21,14.630000,17.090000
2017-04-24,10.840000,9.960000
2017-04-25,10.760000,9.800000
2017-04-26,10.850000,9.790000
2017-04-27,10.360000,9.240000
2017-04-28,10.820000,9.420000
2017-05-01,10.110000,9.490000
2017-05-02,10.590000,10.490000
2017-05-03,10.680000,10.780000
2017-05-04,10.460000,11.040000
2017-05-05,10.570000,11.440000
2017-05-08,9.770000,9.090000
2017-05-09,9.960000,9.310000
2017-05-10,10.210000,9.430000
2017-05-11,10.600000,10.350000
2017-05-12,10.400000,9.400000
2017-05-15,10.420000,9.160000
2017-05-16,10.650000,8.960000
2017-05-17,15.590000,20.170000
2017-05-18,14.660000,16.670000
2017-05-19,12.040000,10.980000
2017-05-22,10.930000,9.390000
2017-05-23,10.720000,9.320000
2017-05-24,10.020000,8.560000
2017-05-25,9.990000,8.120000
2017-05-26,9.810000,7.600000
2017-05-30,10.380000,9.040000
2017-05-31,10.410000,8.710000
2017-06-01,9.890000,8.500000
2017-06-02,9.750000,8.470000
2017-06-05,10.070000,9.690000
2017-06-06,10.450000,10.390000
2017-06-07,10.390000,10.130000
2017-06-08,10.160000,9.620000
2017-06-09,10.700000,10.370000
2017-06-12,11.460000,11.350000
2017-06-13,10.420000,9.350000
2017-06-14,10.640000,9.910000
2017-06-15,10.900000,10.140000
2017-06-16,10.380000,8.330000
2017-06-19,10.370000,8.520000
2017-06-20,10.860000,9.420000
2017-06-21,10.750000,9.560000
2017-06-22,10.480000,9.230000
2017-06-23,10.020000,8.380000
2017-06-26,9.900000,8.700000
2017-06-27,11.060000,10.500000
2017-06-28,10.030000,8.490000
2017-06-29,11.440000,11.370000
2017-06-30,11.180000,9.930000
2017-07-03,11.220000,10.210000
2017-07-05,11.070000,9.650000
2017-07-06,12.540000,11.530000
2017-07-07,11.190000,9.260000
2017-07-10,11.110000,9.900000
2017-07-11,10.890000,9.370000
2017-07-12,10.300000,8.060000
2017-07-13,9.900000,8.010000
2017-07-14,9.510000,7.550000
2017-07-17,9.820000,8.390000
2017-07-18,9.890000,8.440000
2017-07-19,9.790000,7.850000
2017-07-20,9.580000,7.690000
2017-07-21,9.360000,7.100000
2017-07-24,9.430000,7.640000
2017-07-25,9.430000,7.870000
2017-07-26,9.600000,8.070000
2017-07-27,10.110000,9.030000
2017-07-28,10.290000,8.550000
2017-07-31,10.260000,9.430000
2017-08-01,10.090000,8.930000
2017-08-02,10.280000,8.680000
2017-08-03,10.440000,9.310000
2017-08-04,10.030000,8.580000
2017-08-07,9.930000,8.430000
2017-08-08,10.960000,10.500000
2017-08-09,11.110000,10.720000
2017-08-10,16.040000,17.830000
2017-08-11,15.510000,15.530000
2017-08-14,12.330000,11.630000
2017-08-15,12.040000,10.410000
2017-08-16,11.740000,9.730000
2017-08-17,15.550000,15.770000
2017-08-18,14.260000,13.170000
2017-08-21,13.190000,12.480000
2017-08-22,11.350000,9.920000
2017-08-23,12.250000,11.140000
2017-08-24,12.230000,10.330000
2017-08-25,11.280000,8.970000
2017-08-28,11.320000,9.450000
2017-08-29,11.700000,9.810000
2017-08-30,11.220000,9.150000
2017-08-31,10.590000,8.660000
2017-09-01,10.130000,7.940000
2017-09-05,12.230000,11.340000
2017-09-06,11.630000,10.220000
2017-09-07,11.550000,9.750000
2017-09-08,12.120000,11.290000
2017-09-11,10.730000,9.010000
2017-09-12,10.580000,9.250000
2017-09-13,10.500000,9.380000
2017-09-14,10.440000,9.290000
2017-09-15,10.170000,8.300000
2017-09-18,10.150000,8.720000
2017-09-19,10.180000,9.090000
2017-09-20,9.780000,8.950000
2017-09-21,9.670000,8.440000
2017-09-22,9.590000,7.980000
2017-09-25,10.210000,9.210000
2017-09-26,10.170000,9.340000
2017-09-27,9.870000,9.030000
2017-09-28,9.550000,8.390000
2017-09-29,9.510000,7.950000
2017-10-02,9.450000,8.180000
2017-10-03,9.510000,8.040000
2017-10-04,9.630000,8.020000
2017-10-05,9.190000,7.810000
2017-10-06,9.650000,7.880000
2017-10-09,10.330000,9.340000
2017-10-10,10.080000,8.720000
2017-10-11,9.850000,8.320000
2017-10-12,9.910000,8.340000
2017-10-13,9.610000,8.030000
2017-10-16,9.910000,8.460000
2017-10-17,10.310000,8.690000
2017-10-18,10.070000,8.370000
2017-10-19,10.050000,8.880000
2017-10-20,9.970000,8.410000
2017-10-23,11.070000,10.770000
2017-10-24,11.160000,10.480000
2017-10-25,11.230000,11.090000
2017-10-26,11.300000,10.690000
2017-10-27,9.800000,8.610000
2017-10-30,10.500000,9.810000
2017-10-31,10.180000,9.320000
2017-11-01,10.200000,9.290000
2017-11-02,9.930000,8.540000
2017-11-03,9.140000,7.840000
2017-11-06,9.400000,8.090000
2017-11-07,9.890000,8.830000
2017-11-08,9.780000,8.280000
2017-11-09,10.500000,9.650000
2017-11-10,11.290000,10.310000
2017-11-13,11.500000,9.840000
2017-11-14,11.590000,9.730000
2017-11-15,13.130000,11.730000
2017-11-16,11.760000,8.740000
2017-11-17,11.430000,8.490000
2017-11-20,10.650000,8.600000
2017-11-21,9.730000,7.970000
2017-11-22,9.880000,7.870000
2017-11-24,9.670000,7.870000
2017-11-27,9.870000,9.000000
2017-11-28,10.030000,9.180000
2017-11-29,10.700000,10.160000
2017-11-30,11.280000,11.380000
2017-12-01,11.430000,11.980000
2017-12-04,11.680000,12.210000
2017-12-05,11.330000,11.110000
2017-12-06,11.020000,10.900000
2017-12-07,10.160000,9.510000
2017-12-08,9.580000,8.440000
2017-12-11,9.340000,8.790000
2017-12-12,9.920000,9.240000
2017-12-13,10.180000,9.350000
2017-12-14,10.490000,9.870000
2017-12-15,9.420000,8.250000
2017-12-18,9.530000,8.050000
2017-12-19,10.030000,9.030000
2017-12-20,9.720000,8.340000
2017-12-21,9.620000,7.630000
2017-12-22,9.900000,7.510000
2017-12-26,10.250000,8.480000
2017-12-27,10.470000,9.710000
2017-12-28,10.180000,9.270000
2017-12-29,11.040000,10.420000
2018-01-02,9.770000,8.540000
2018-01-03,9.150000,7.850000
2018-01-04,9.220000,7.730000
2018-01-05,9.220000,7.700000
2018-01-08,9.520000,7.900000
2018-01-09,10.080000,8.350000
2018-01-10,9.820000,7.850000
2018-01-11,9.880000,7.840000
2018-01-12,10.160000,8.680000
2018-01-16,11.660000,11.250000
2018-01-17,11.910000,11.690000
2018-01-18,12.220000,12.370000
2018-01-19,11.270000,10.410000
2018-01-22,11.030000,10.860000
2018-01-23,11.100000,11.020000
2018-01-24,11.470000,11.450000
2018-01-25,11.580000,11.640000
2018-01-26,11.080000,10.460000
2018-01-29,13.840000,14.910000
2018-01-30,14.790000,16.200000
2018-01-31,13.540000,13.860000
2018-02-01,13.470000,13.860000
2018-02-02,17.310000,18.860000
2018-02-05,37.320000,59.340000
2018-02-06,29.980000,39.460000
2018-02-07,27.730000,32.860000
2018-02-08,33.460000,41.440000
2018-02-09,29.060000,31.640000
2018-02-12,25.610000,26.830000
2018-02-13,24.970000,25.290000
2018-02-14,19.260000,18.730000
2018-02-15,19.130000,18.580000
2018-02-16,19.460000,18.680000
2018-02-20,20.600000,20.640000
2018-02-21,20.020000,20.010000
2018-02-22,18.720000,18.130000
2018-02-23,16.490000,14.980000
2018-02-26,15.800000,15.160000
2018-02-27,18.590000,18.120000
2018-02-28,19.850000,19.190000
2018-03-01,22.470000,23.890000
2018-03-02,19.590000,18.870000
2018-03-05,18.730000,18.260000
2018-03-06,18.360000,17.230000
2018-03-07,17.760000,16.710000
2018-03-08,16.540000,15.860000
2018-03-09,14.640000,13.530000
2018-03-12,15.780000,15.240000
2018-03-13,16.350000,15.360000
2018-03-14,17.230000,17.280000
2018-03-15,16.590000,15.960000
2018-03-16,15.800000,14.930000
2018-03-19,19.020000,21.950000
2018-03-20,18.200000,19.700000
2018-03-21,17.860000,18.520000
2018-03-22,23.340000,26.310000
2018-03-23,24.870000,28.220000
2018-03-26,21.030000,22.280000
2018-03-27,22.500000,22.950000
2018-03-28,22.870000,24.940000
2018-03-29,19.970000,20.570000
2018-04-02,23.620000,27.310000
2018-04-03,21.100000,23.480000
2018-04-04,20.060000,21.950000
2018-04-05,18.940000,19.930000
2018-04-06,21.490000,23.060000
2018-04-09,21.770000,23.830000
2018-04-10,20.470000,20.920000
