date,aapl_open,aapl_high,aapl_low,aapl_close,aapl_volume,vxapl_open,vxapl_high,vxapl_low,vxapl_close,vix_open,vix_high,vix_low,vix_close,vix9d_open,vix9d_high,vix9d_low,vix9d_close,earnings_flag,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,source_ids
2014-03-28,16.87324889,16.89268195,16.7456777,16.82748604,200564000,21.66,23.03,21.66,22.99,14.15,14.86,13.73,14.41,14.28,15.31,13.6,14.41,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-31,16.90177934,16.95130361,16.79834167,16.82373238,168669200,24.12,24.12,23.02,23.36,13.88,14.16,13.57,13.88,14.09,14.33,13.27,13.75,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-01,16.85569308,16.98451972,16.8246628,16.97762299,200760000,23.51,23.51,22.42,22.44,13.43,13.56,13.06,13.1,13.09,13.34,12.24,12.29,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-02,17.00050826,17.03498691,16.93405854,17.00583649,180420800,22.6,22.75,22.31,22.46,13.17,13.35,12.92,13.09,12.39,12.63,11.88,12.13,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-03,16.96948247,17.00427416,16.85194164,16.88798714,162344000,22.73,23.33,22.72,22.96,13.02,13.7,13.02,13.37,12.07,12.78,11.91,12.53,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-04,16.91995369,16.92590798,16.63064568,16.6695118,275251200,23.13,25.03,23.1,24.82,12.88,14.55,12.6,13.96,11.63,14.33,11.31,13.18,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-07,16.55040411,16.64067602,16.35826474,16.40778732,289850400,26.05,27.65,26.05,27.07,14.96,16.01,14.57,15.57,15.21,17.12,14.58,16.08,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-08,16.46170139,16.49085182,16.25827614,16.40684891,243888400,27.12,27.68,26.66,26.68,15.59,16.2,14.81,14.89,16.16,17.03,14.37,14.51,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-09,16.38176926,16.62782197,16.36233621,16.62249374,206169600,26.87,27.07,25.78,25.79,14.58,14.94,13.7,13.82,14.47,15.07,12.48,12.69,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-10,16.63377929,16.68267748,16.39838467,16.40810204,239652000,25.99,26.67,25.82,26.59,13.98,16.38,13.81,15.89,13.15,17.36,12.73,16.5,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
