as_of_date,model_name,expected_variance,median_variance,lower_quantile,upper_quantile,monte_carlo_standard_error,heston_used,heston_failure
2022-08-18,ensemble,0.04521360426813337,0.04521360426813337,0.04521360426813337,0.04521360426813337,0.0,True,
2022-08-19,ensemble,0.04529312719186112,0.04529312719186112,0.04529312719186112,0.04529312719186112,0.0,True,
2022-08-22,ensemble,0.04545923524253699,0.04545923524253699,0.04545923524253699,0.04545923524253699,0.0,True,
2022-08-23,ensemble,0.04530036791227995,0.04530036791227995,0.04530036791227995,0.04530036791227995,0.0,True,
2022-08-24,ensemble,0.04526762516285278,0.04526762516285278,0.04526762516285278,0.04526762516285278,0.0,True,
2022-08-25,ensemble,0.045500189088881385,0.045500189088881385,0.045500189088881385,0.045500189088881385,0.0,True,
2022-08-26,ensemble,0.04644089243843668,0.04644089243843668,0.04644089243843668,0.04644089243843668,0.0,True,
2022-08-29,ensemble,0.04676289533488857,0.04676289533488857,0.04676289533488857,0.04676289533488857,0.0,True,
2022-08-30,ensemble,0.046719564923377865,0.046719564923377865,0.046719564923377865,0.046719564923377865,0.0,True,
2022-08-31,ensemble,0.046649512185002524,0.046649512185002524,0.046649512185002524,0.046649512185002524,0.0,True,
2022-09-01,ensemble,0.04644384285398571,0.04644384285398571,0.04644384285398571,0.04644384285398571,0.0,True,
2022-09-02,ensemble,0.04645546445213416,0.04645546445213416,0.04645546445213416,0.04645546445213416,0.0,True,
2022-09-06,ensemble,0.04636585202238107,0.04636585202238107,0.04636585202238107,0.04636585202238107,0.0,True,
2022-09-07,ensemble,0.046636284288054414,0.046636284288054414,0.046636284288054414,0.046636284288054414,0.0,True,
2022-09-08,ensemble,0.04669226000064365,0.04669226000064365,0.04669226000064365,0.04669226000064365,0.0,True,
2022-09-09,ensemble,0.0465449148947782,0.0465449148947782,0.0465449148947782,0.0465449148947782,0.0,True,
2022-09-12,ensemble,0.046855338302184045,0.046855338302184045,0.046855338302184045,0.046855338302184045,0.0,True,
2022-09-13,ensemble,0.049153166299615914,0.049153166299615914,0.049153166299615914,0.049153166299615914,0.0,True,
2022-09-14,ensemble,0.04868137579401915,0.04868137579401915,0.04868137579401915,0.04868137579401915,0.0,True,
2022-09-15,ensemble,0.049339232257184035,0.049339232257184035,0.049339232257184035,0.049339232257184035,0.0,True,
2022-09-16,ensemble,0.04973238383655132,0.04973238383655132,0.04973238383655132,0.04973238383655132,0.0,True,
2022-09-19,ensemble,0.049063108495114964,0.049063108495114964,0.049063108495114964,0.049063108495114964,0.0,True,
2022-09-20,ensemble,0.04942528878563679,0.04942528878563679,0.04942528878563679,0.04942528878563679,0.0,True,
2022-09-21,ensemble,0.04978829673707208,0.04978829673707208,0.04978829673707208,0.04978829673707208,0.0,True,
2022-09-22,ensemble,0.049042980250443964,0.049042980250443964,0.049042980250443964,0.049042980250443964,0.0,True,
2022-09-23,ensemble,0.049218277910977916,0.049218277910977916,0.049218277910977916,0.049218277910977916,0.0,True,
2022-09-26,ensemble,0.051099263728942516,0.051099263728942516,0.051099263728942516,0.051099263728942516,0.0,True,
2022-09-27,ensemble,0.04906930482526736,0.04906930482526736,0.04906930482526736,0.04906930482526736,0.0,True,
2022-09-28,ensemble,0.04995190978502881,0.04995190978502881,0.04995190978502881,0.04995190978502881,0.0,True,
2022-09-29,ensemble,0.05019209072797307,0.05019209072797307,0.05019209072797307,0.05019209072797307,0.0,True,
2022-09-30,ensemble,0.050365680525114136,0.050365680525114136,0.050365680525114136,0.050365680525114136,0.0,True,
2022-10-03,ensemble,0.05102096888283936,0.05102096888283936,0.05102096888283936,0.05102096888283936,0.0,True,
2022-10-04,ensemble,0.051511546043755616,0.051511546043755616,0.051511546043755616,0.051511546043755616,0.0,True,
2022-10-05,ensemble,0.05155473886613151,0.05155473886613151,0.05155473886613151,0.05155473886613151,0.0,True,
2022-10-06,ensemble,0.05116836344292465,0.05116836344292465,0.05116836344292465,0.05116836344292465,0.0,True,
2022-10-07,ensemble,0.052118461501460746,0.052118461501460746,0.052118461501460746,0.052118461501460746,0.0,True,
2022-10-10,ensemble,0.05244565691820304,0.05244565691820304,0.05244565691820304,0.05244565691820304,0.0,True,
2022-10-11,ensemble,0.05232444438774565,0.05232444438774565,0.05232444438774565,0.05232444438774565,0.0,True,
