as_of_date,direction,implied_variance,forecast_variance,variance_edge,variance_risk_premium,zscore,regime,entry_threshold,approved,model_name
2022-10-06,long_vol,0.093266716816,0.05116836344292465,-0.04209835337307535,0.04209835337307535,-1.6288232798104383,high_vol__flat,0.9375,True,ensemble
2022-10-07,long_vol,0.098208277924,0.052118461501460746,-0.04608981642253925,0.04608981642253925,-1.8062759384533174,high_vol__flat,0.9375,True,ensemble
2022-10-10,long_vol,0.10531452848399998,0.05244565691820304,-0.05286887156579694,0.05286887156579694,-2.0924033299790485,high_vol__flat,0.9375,True,ensemble
2022-10-11,long_vol,0.112900704049,0.05232444438774565,-0.06057625966125435,0.06057625966125435,-2.3747955649092116,high_vol__flat,0.9375,True,ensemble
2022-10-12,long_vol,0.11236105120899999,0.05324402131535533,-0.05911702989364466,0.05911702989364466,-2.161251131304739,high_vol__flat,0.9375,True,ensemble
2022-10-13,long_vol,0.101996558161,0.05283145724865981,-0.04916510091234019,0.04916510091234019,-1.5689723306424315,high_vol__flat,0.9375,True,ensemble
2022-10-14,long_vol,0.102273958809,0.05303455513404279,-0.049239403674957216,0.049239403674957216,-1.510807824642878,high_vol__flat,0.9375,True,ensemble
2022-10-17,long_vol,0.098291655225,0.054420700720585524,-0.04387095450441447,0.04387095450441447,-1.195545305673682,high_vol__flat,0.9375,True,ensemble
2022-10-18,flat,0.09310309638400001,0.05417551788372449,-0.03892757850027552,0.03892757850027552,-0.9169413227993142,high_vol__flat,0.9375,True,ensemble
2022-10-19,long_vol,0.09492622620100001,0.05399226505705443,-0.04093396114394558,0.04093396114394558,-0.988893689936044,high_vol__flat,0.9375,True,ensemble
2022-10-20,flat,0.09012244161600001,0.053849549372803555,-0.03627289224319646,0.03627289224319646,-0.7327243818232069,high_vol__flat,0.9375,True,ensemble
2022-10-21,flat,0.088313574976,0.05444007381624556,-0.03387350115975443,0.03387350115975443,-0.5908294679873975,high_vol__flat,0.9375,True,ensemble
2022-10-24,flat,0.089028834129,0.05464019548148559,-0.034388638647514416,0.034388638647514416,-0.5923623117603688,high_vol__flat,0.9375,True,ensemble
2022-10-25,flat,0.08095675184099999,0.05481156055814963,-0.026145191282850352,0.026145191282850352,-0.16185385367406238,high_vol__flat,0.9375,True,ensemble
2022-10-26,flat,0.07442911548899998,0.054972486001433035,-0.019456629487566948,0.019456629487566948,0.18360645344364507,high_vol__flat,0.9375,True,ensemble
2022-10-27,flat,0.07501189768899999,0.0544082322942209,-0.02060366539477909,0.02060366539477909,0.14209418355135917,high_vol__flat,0.9375,True,ensemble
2022-10-28,flat,0.06631449025600002,0.054851582779726585,-0.011462907476273432,0.011462907476273432,0.624712852658938,high_vol__flat,0.9375,True,ensemble
2022-10-31,flat,0.067064942961,0.05510137513232075,-0.011963567828679252,0.011963567828679252,0.6157682801326522,high_vol__flat,0.9375,True,ensemble
2022-11-01,flat,0.066416505796,0.05500617358394952,-0.011410332212050484,0.011410332212050484,0.6606841149157855,high_vol__flat,0.9375,True,ensemble
2022-11-02,flat,0.066818114064,0.05549025128266537,-0.01132786278133463,0.01132786278133463,0.6777071584798614,high_vol__flat,0.9375,True,ensemble
2022-11-03,flat,0.064013048064,0.055365275415208415,-0.008647772648791588,0.008647772648791588,0.8473926818400547,high_vol__flat,0.9375,True,ensemble
2022-11-04,short_vol,0.060404859075999996,0.055353792256694,-0.005051066819305998,0.005051066819305998,1.0618813847308575,high_vol__flat,0.9375,True,ensemble
2022-11-07,short_vol,0.059273745444000006,0.05569896965221722,-0.0035747757917827874,0.0035747757917827874,1.169094580928032,high_vol__flat,0.9375,True,ensemble
2022-11-08,flat,0.06522916000000001,0.055757274788198766,-0.009471885211801243,0.009471885211801243,0.8729504351918466,high_vol__flat,0.9375,True,ensemble
2022-11-09,flat,0.068125698081,0.05577465746214921,-0.012351040618850784,0.012351040618850784,0.7465949630759107,high_vol__flat,0.9375,True,ensemble
2022-11-10,short_vol,0.055261666084,0.05915891188149525,0.003897245797495251,-0.003897245797495251,1.6919793018342375,high_vol__flat,0.9375,True,ensemble
2022-11-11,short_vol,0.05056561742400001,0.05878901819965855,0.008223400775658543,-0.008223400775658543,1.9369588733294072,high_vol__flat,0.9375,True,ensemble
2022-11-14,short_vol,0.05635211299600001,0.06008061926934665,0.0037285062733466434,-0.0037285062733466434,1.6737709709140554,high_vol__flat,0.9375,True,ensemble
2022-11-15,short_vol,0.060398960644,0.05989879070766169,-0.0005001699363383141,0.0005001699363383141,1.402861251554892,high_vol__flat,0.9375,True,ensemble
2022-11-16,short_vol,0.058287962041,0.05976992612531737,0.0014819640843173679,-0.0014819640843173679,1.479751871659645,high_vol__flat,0.9375,True,ensemble
2022-11-17,short_vol,0.057348275625,0.059525706578197696,0.0021774309531976954,-0.0021774309531976954,1.494599218181822,high_vol__flat,0.9375,True,ensemble
2022-11-18,short_vol,0.05346315084100001,0.059354048814093965,0.005890897973093959,-0.005890897973093959,1.6760534803822684,high_vol__flat,0.9375,True,ensemble
2022-11-21,short_vol,0.049872269041,0.05918161390848402,0.00930934486748402,-0.00930934486748402,1.7882505418436052,high_vol__flat,0.9375,True,ensemble
2022-11-22,short_vol,0.045299162896,0.05920253831200587,0.013903375416005871,-0.013903375416005871,1.9367817385001398,high_vol__flat,0.9375,True,ensemble
2022-11-23,short_vol,0.041516100024999995,0.06112455170709072,0.019608451682090723,-0.019608451682090723,2.1103460551720823,high_vol__flat,0.9375,True,ensemble
2022-11-25,short_vol,0.042107860803999995,0.05924150046666597,0.017133639662665977,-0.017133639662665977,1.8948773752177739,high_vol__flat,0.9375,True,ensemble
2022-11-28,short_vol,0.049301317521,0.06019947484629882,0.010898157325298821,-0.010898157325298821,1.5382359207482943,high_vol__flat,0.9375,True,ensemble
2022-11-29,short_vol,0.047984216809,0.058776126208426004,0.010791909399426002,-0.010791909399426002,1.481602289608625,high_vol__flat,0.9375,True,ensemble
2022-11-30,short_vol,0.042273827236000004,0.06009783428243635,0.017824007046436344,-0.017824007046436344,1.7280169286079357,high_vol__flat,0.9375,True,ensemble
2022-12-01,short_vol,0.039450698884,0.05916499474031829,0.019714295856318294,-0.019714295856318294,1.7418699157235942,high_vol__flat,0.9375,True,ensemble
2022-12-02,short_vol,0.036308921401,0.05919218422008021,0.022883262819080215,-0.022883262819080215,1.8080766311555967,high_vol__flat,0.9375,True,ensemble
2022-12-05,short_vol,0.042950490025,0.060630951274371146,0.017680461249371143,-0.017680461249371143,1.5414423845002516,high_vol__flat,0.9375,True,ensemble
2022-12-06,short_vol,0.049099912225,0.05881088942923654,0.00971097720423654,-0.00971097720423654,1.1795513821214092,high_vol__flat,0.9375,True,ensemble
2022-12-07,short_vol,0.051488601921,0.05876901459274493,0.0072804126717449305,-0.0072804126717449305,1.0465980840135762,high_vol__flat,0.9375,True,ensemble
2022-12-08,short_vol,0.049756655844000006,0.05879617472221681,0.009039518878216801,-0.009039518878216801,1.0881914917314977,high_vol__flat,0.9375,True,ensemble
2022-12-09,short_vol,0.052209965025,0.05859481719087806,0.006384852165878058,-0.006384852165878058,0.9546228309731107,high_vol__flat,0.9375,True,ensemble
2022-12-12,flat,0.062481001444,0.05843420137284787,-0.004046800071152129,0.004046800071152129,0.5209687441836202,normal_vol__flat,0.75,True,ensemble
2022-12-13,short_vol,0.050841230400000006,0.059087458098246684,0.008246227698246678,-0.008246227698246678,0.9917966720010526,normal_vol__flat,0.75,True,ensemble
2022-12-14,short_vol,0.044797415716,0.058181090696909354,0.013383674980909352,-0.013383674980909352,1.1596108580593765,normal_vol__flat,0.75,True,ensemble
2022-12-15,flat,0.0520022416,0.05918961798082277,0.007187376380822771,-0.007187376380822771,0.88641834222194,high_vol__flat,0.9375,True,ensemble
2022-12-16,flat,0.051252884881,0.05887296841433601,0.007620083533336007,-0.007620083533336007,0.8769269724473535,high_vol__flat,0.9375,True,ensemble
2022-12-19,flat,0.050271917796,0.05968283791820857,0.009410920122208566,-0.009410920122208566,0.9160005724722421,high_vol__flat,0.9375,True,ensemble
2022-12-20,short_vol,0.046005531121000004,0.05850199704596966,0.012496465924969655,-0.012496465924969655,1.0063319123172039,high_vol__flat,0.9375,True,ensemble
2022-12-21,short_vol,0.040337910649,0.058278357829807136,0.01794044718080714,-0.01794044718080714,1.1911740304162897,high_vol__flat,0.9375,True,ensemble
2022-12-22,flat,0.048182884036000004,0.05897322858361304,0.010790344547613039,-0.010790344547613039,0.8725770987319026,high_vol__flat,0.9375,True,ensemble
2022-12-23,short_vol,0.043531066880999995,0.057929166675940225,0.01439809979494023,-0.01439809979494023,0.9896850082769763,high_vol__flat,0.9375,True,ensemble
2022-12-27,flat,0.046990533529,0.05768841736591153,0.010697883836911531,-0.010697883836911531,0.8104432202055557,high_vol__flat,0.9375,True,ensemble
2022-12-28,flat,0.0489117456,0.05770528352706587,0.008793537927065873,-0.008793537927065873,0.7039814160484344,high_vol__flat,0.9375,True,ensemble
2022-12-29,flat,0.046093943025,0.057879514690885106,0.011785571665885106,-0.011785571665885106,0.8027620277663179,high_vol__flat,0.9375,True,ensemble
2022-12-30,flat,0.047085962048999994,0.05780670619650531,0.010720744147505318,-0.010720744147505318,0.7311497041673677,normal_vol__flat,0.75,True,ensemble
2023-01-03,flat,0.052381476899999994,0.05767152061741246,0.005290043717412464,-0.005290043717412464,0.47381771205044376,normal_vol__flat,0.75,True,ensemble
2023-01-04,flat,0.048371404225,0.05911770446043596,0.010746300235435963,-0.010746300235435963,0.6862505352814825,normal_vol__flat,0.75,True,ensemble
2023-01-05,flat,0.0505665169,0.05739475939389653,0.006828242493896533,-0.006828242493896533,0.4859116949649686,normal_vol__flat,0.75,True,ensemble
2023-01-06,flat,0.044669667904,0.0578730895428935,0.013203421638893494,-0.013203421638893494,0.7687679230579019,high_vol__flat,0.9375,True,ensemble
2023-01-09,flat,0.048226356025,0.05775066711781367,0.009524311092813667,-0.009524311092813667,0.569455312888688,high_vol__flat,0.9375,True,ensemble
2023-01-10,flat,0.042244636225,0.05795782144252354,0.01571318521752354,-0.01571318521752354,0.8833493879712695,high_vol__flat,0.9375,True,ensemble
