as_of_date,kappa,theta,xi,rho,v0,mu,model,window_start,window_end,n_observations,calibration_loss,optimizer_success
2015-11-23,2.0,0.01788194080599956,0.3,-0.5,0.01788194080599956,0.07953278755777587,heston,2014-01-02,2015-11-23,477,0.0,False
2015-11-30,2.0,0.01774434194853797,0.3,-0.5,0.01774434194853797,0.07792383753596357,heston,2014-01-02,2015-11-30,481,0.0,False
2015-12-07,2.0,0.01797986837039529,0.3,-0.5,0.01797986837039529,0.0764857277815132,heston,2014-01-02,2015-12-07,486,0.0,False
2015-12-14,2.0,0.01807130942557944,0.3,-0.5,0.01807130942557944,0.062242190960257585,heston,2014-01-02,2015-12-14,491,0.0,False
2015-12-21,2.0,0.01849831819918864,0.3,-0.5,0.01849831819918864,0.05882802490442857,heston,2014-01-02,2015-12-21,496,0.0,False
2015-12-28,2.0,0.018468099555435144,0.3,-0.5,0.018468099555435144,0.06718646269417833,heston,2014-01-02,2015-12-28,500,0.0,False
2016-01-04,2.0,0.018594322723116393,0.3,-0.5,0.018594322723116393,0.05666258331333894,heston,2014-01-03,2016-01-04,503,0.0,False
2016-01-11,2.0,0.019014357388282433,0.3,-0.5,0.019014357388282433,0.030735191156813516,heston,2014-01-10,2016-01-11,503,0.0,False
2016-01-19,2.0,0.01955467652252578,0.3,-0.5,0.01955467652252578,0.02170649172765131,heston,2014-01-17,2016-01-19,503,0.0,False
2016-01-25,2.0,0.019703543288127835,0.3,-0.5,0.019703543288127835,0.033776311798333104,heston,2014-01-24,2016-01-25,503,0.0,False
2016-02-01,2.0,0.020006297600481178,0.3,-0.5,0.020006297600481178,0.05171497569567285,heston,2014-01-31,2016-02-01,503,0.0,False
2016-02-08,2.0,0.020027879071718397,0.3,-0.5,0.020027879071718397,0.025768213610518023,heston,2014-02-07,2016-02-08,503,0.0,False
2016-02-16,2.0,0.02037423838133639,0.3,-0.5,0.02037423838133639,0.02562828602214393,heston,2014-02-14,2016-02-16,503,0.0,False
2016-02-22,2.0,0.020575066921547244,0.3,-0.5,0.020575066921547244,0.03911120517575056,heston,2014-02-21,2016-02-22,503,0.0,False
2016-02-29,2.0,0.020742596458779065,0.3,-0.5,0.020742596458779065,0.0295508241560738,heston,2014-02-28,2016-02-29,503,0.0,False
2016-03-07,2.0,0.020908490824752435,0.3,-0.5,0.020908490824752435,0.0422368249448177,heston,2014-03-07,2016-03-07,503,0.0,False
2016-03-14,2.0,0.021026191876481207,0.3,-0.5,0.021026191876481207,0.056716564588205606,heston,2014-03-14,2016-03-14,503,0.0,False
2016-03-21,2.0,0.020933935249446603,0.3,-0.5,0.020933935249446603,0.05784976167918559,heston,2014-03-21,2016-03-21,503,0.0,False
2016-03-28,2.0,0.020907793508930458,0.3,-0.5,0.020907793508930458,0.05870191339025313,heston,2014-03-27,2016-03-28,503,0.0,False
2016-04-04,2.0,0.020918685999301235,0.3,-0.5,0.020918685999301235,0.055198912415164544,heston,2014-04-03,2016-04-04,503,0.0,False
2016-04-11,2.0,0.02067833300719657,0.3,-0.5,0.02067833300719657,0.0643892735408623,heston,2014-04-10,2016-04-11,503,0.0,False
2016-04-18,2.0,0.02064498033503649,0.3,-0.5,0.02064498033503649,0.06825585852227994,heston,2014-04-17,2016-04-18,503,0.0,False
2016-04-25,2.0,0.02061183783924256,0.3,-0.5,0.02061183783924256,0.06699934625591063,heston,2014-04-25,2016-04-25,503,0.0,False
2016-05-02,2.0,0.02068203660161718,0.3,-0.5,0.02068203660161718,0.060757439723445564,heston,2014-05-02,2016-05-02,503,0.0,False
2016-05-09,2.0,0.02068572794277517,0.3,-0.5,0.02068572794277517,0.055987922451873076,heston,2014-05-09,2016-05-09,503,0.0,False
2016-05-16,2.0,0.020789257005848077,0.3,-0.5,0.020789257005848077,0.05796278037774473,heston,2014-05-16,2016-05-16,503,0.0,False
2016-05-23,2.0,0.02079051074273799,0.3,-0.5,0.02079051074273799,0.04805465751946058,heston,2014-05-23,2016-05-23,503,0.0,False
2016-05-31,2.0,0.020871973792737423,0.3,-0.5,0.020871973792737423,0.052619352123976906,heston,2014-06-02,2016-05-31,503,0.0,False
2016-06-06,2.0,0.020862356166784394,0.3,-0.5,0.020862356166784394,0.049806673201348,heston,2014-06-06,2016-06-06,503,0.0,False
2016-06-13,2.0,0.02090994192233743,0.3,-0.5,0.02090994192233743,0.046109378198347664,heston,2014-06-13,2016-06-13,503,0.0,False
2016-06-20,2.0,0.020944176996576927,0.3,-0.5,0.020944176996576927,0.04003483262771556,heston,2014-06-20,2016-06-20,503,0.0,False
