decision_date,model_name,forecast_realized_variance,implied_variance,variance_edge,variance_edge_zscore,trade_direction,structure_name,spot_at_entry,strike,expiration,days_to_expiration,entry_option_iv,exit_option_iv,subsequent_realized_variance,underlying_return,gross_option_pnl,hedge_pnl,commission,slippage,net_pnl,holding_days,exit_reason
2023-02-27,ensemble,0.05287334716054341,0.043818630240999995,0.009054716919543418,-0.844260586469573,long_vol,long_straddle,397.73,398.0,2023-04-03,35,0.209329,0.209329,0.03135092177527823,0.00020114147788707903,-107.25,,13.0,21.45000000000019,-141.70000000000073,3,exit
2023-03-06,ensemble,0.05586818381243112,0.0347300496,0.021138134212431117,1.1805121216178496,short_vol,iron_butterfly,404.47,404.0,2023-04-10,35,0.18636525,0.18636525,0.033048964168510636,-0.015328701757856056,-645.5999999999985,,83.2,129.12,-857.9199999999983,1,exit
2023-03-13,ensemble,0.051515042512222525,0.07048865700899999,-0.018973614496777466,-4.26913590242405,long_vol,long_straddle,385.36,385.0,2023-04-17,35,0.265497,0.265497,0.023910765246936385,0.02657255553248916,-133.625,,13.0,26.725000000000108,-173.34999999999854,15,exit
2023-03-20,ensemble,0.05113267943754194,0.058230033481,-0.007097354043458057,-1.9582098592249086,long_vol,long_straddle,393.74,394.0,2023-04-24,35,0.241309,0.241309,0.014894873286629006,0.004723929496622148,-122.0625,,13.0,24.412499999999724,-159.47499999999854,8,exit
2023-04-14,ensemble,0.04994954171637518,0.029216723041,0.020732818675375183,0.9053122722342103,short_vol,iron_butterfly,412.46,412.0,2023-05-19,35,0.17108525,0.17108525,0.01680891526471465,-0.01963826795325596,-221.90000000000146,,41.6,44.37999999999995,-307.880000000001,12,exit
2023-04-19,ensemble,0.04863320472633964,0.027115220889,0.02151798383733964,0.9536207500815718,short_vol,iron_butterfly,414.14,414.0,2023-05-24,35,0.164794,0.164794,0.020038985408126597,-0.023615202588496587,-386.3999999999978,,62.400000000000006,77.27999999999969,-526.0799999999981,7,exit
2023-04-27,ensemble,0.050149610727199284,0.029071273008999997,0.021078337718199287,0.9358367978086278,short_vol,iron_butterfly,412.41,412.0,2023-06-01,35,0.17079325,0.17079325,0.016777287729164852,-0.01765233626730689,-190.13750000000255,,36.4,38.02750000000012,-264.56500000000415,7,exit
2023-05-08,ensemble,0.04877086023141748,0.028788587583999995,0.019982272647417487,0.854908569234005,short_vol,iron_butterfly,412.74,413.0,2023-06-12,35,0.16864325,0.16864325,0.013315422708161408,-0.004385327324708088,-267.1874999999982,,46.800000000000004,53.43749999999978,-367.42499999999745,1,exit
2023-05-17,ensemble,0.04937877545669324,0.028497491343999995,0.020881284112693244,0.944228107862312,short_vol,iron_butterfly,415.23,415.0,2023-06-21,35,0.16894175,0.16894175,0.014755752020707997,0.008164149989162706,-443.1375000000007,,67.60000000000001,88.62750000000027,-599.3650000000016,2,exit
2023-05-24,ensemble,0.040946757129061186,0.040141324609,0.0008054325200611834,-1.116418092810412,long_vol,long_straddle,411.09,411.0,2023-06-28,35,0.200353,0.200353,0.01315172775270705,0.021722737113527568,-82.55000000000018,,10.4,16.51000000000007,-109.46000000000004,2,exit
2023-06-02,ensemble,0.04086762319380919,0.021306365089000003,0.019561258104809187,0.8413778421882391,short_vol,iron_butterfly,427.92,428.0,2023-07-07,35,0.14621275,0.14621275,0.009662564601835308,0.020424378388483877,-121.125,,31.200000000000003,24.225000000000136,-176.54999999999927,11,exit
2023-06-07,ensemble,0.039660287601696056,0.019383322175999997,0.02027696542569606,0.8827951027307402,short_vol,iron_butterfly,426.55,427.0,2023-07-12,35,0.13942825,0.13942825,0.010312674284393647,0.023701793459149023,-224.66250000000036,,46.800000000000004,44.9325,-316.3949999999986,6,exit
2023-06-12,ensemble,0.04408700418208283,0.022505100289000005,0.021581903893082822,0.9967409365971457,short_vol,iron_butterfly,433.8,434.0,2023-07-17,35,0.149156,0.149156,0.010863258695456048,0.006592899953895781,-172.81250000000182,,36.4,34.562500000000234,-243.77500000000327,1,exit
2023-06-23,ensemble,0.03934978406237413,0.018084332483999998,0.021265451578374134,0.9863607456610194,short_vol,iron_butterfly,433.21,433.0,2023-07-28,35,0.1355755,0.1355755,0.00813482438895463,0.006832713926271383,-147.96249999999782,,36.4,29.592500000000122,-213.9549999999981,4,exit
2023-07-06,ensemble,0.03458091272927749,0.023795222049000003,0.010785690680277488,-1.164212419797344,long_vol,long_straddle,439.66,440.0,2023-08-10,35,0.154257,0.154257,0.008395162949679139,0.014465723513624074,-70.40000000000146,,10.4,14.080000000000226,-94.88000000000102,6,exit
2023-07-11,ensemble,0.033618819377942796,0.022077502225,0.011541317152942796,-0.9526280076737249,long_vol,long_straddle,442.46,442.0,2023-08-15,35,0.148585,0.148585,0.009432352505356283,0.00804592505537216,-69.59999999999854,,10.4,13.9199999999998,-93.91999999999825,1,exit
2023-07-27,ensemble,0.03206208716543819,0.020818738369,0.011243348796438186,-0.9025162991984266,long_vol,long_straddle,452.49,452.0,2023-08-31,35,0.144287,0.144287,0.014022709631919159,0.009790271608212331,-69.35000000000036,,10.4,13.870000000000005,-93.6200000000008,1,exit
2023-08-01,ensemble,0.030966784005166607,0.019453554575999996,0.011513229429166612,-0.8317059117130083,long_vol,long_straddle,456.48,456.0,2023-09-05,35,0.139476,0.139476,0.01589547830779764,-0.03689099193831058,-67.59999999999945,,10.4,13.519999999999932,-91.51999999999953,15,exit
2023-08-07,ensemble,0.030765117702634126,0.024830826083999998,0.005934291618634128,-1.6850533715104465,long_vol,long_straddle,450.71,451.0,2023-09-11,35,0.157578,0.157578,0.013127374840272469,-0.027867142952230917,-73.20000000000073,,10.4,14.640000000000075,-98.23999999999978,15,exit
2023-08-14,ensemble,0.03008610401767882,0.021976283535999997,0.008109820481678822,-1.0411630302517079,long_vol,long_straddle,448.11,448.0,2023-09-18,35,0.148244,0.148244,0.013025916995205947,0.0023431746669344555,-66.95000000000073,,10.4,13.390000000000146,-90.73999999999978,15,exit
2023-08-21,ensemble,0.031789644732906366,0.029398188681,0.0023914560519063648,-1.7310992821307896,long_vol,long_straddle,439.34,439.0,2023-09-25,35,0.171459,0.171459,0.014418128641283558,0.025060317749351357,-78.29999999999927,,10.4,15.659999999999918,-104.35999999999876,10,exit
2023-08-28,ensemble,0.029069915069763468,0.022711092804,0.006358822265763467,-0.943385855276088,long_vol,long_straddle,442.76,443.0,2023-10-02,35,0.150702,0.150702,0.015684543473867014,0.017142469961152873,-68.39999999999964,,10.4,13.680000000000003,-92.47999999999956,3,exit
2023-09-12,ensemble,0.03629897761069689,0.020248151616,0.016050825994696892,0.959889489778674,short_vol,iron_butterfly,445.99,446.0,2023-10-17,35,0.1425305,0.1425305,0.017123342788239723,0.009798425973676528,-120.29999999999927,,31.200000000000003,24.060000000000013,-175.5600000000013,2,exit
2023-09-20,ensemble,0.02781142872056712,0.022876865001,0.004934563719567121,-1.0007788466478305,long_vol,long_straddle,438.64,439.0,2023-10-25,35,0.151251,0.151251,0.017363336307497076,-0.03223600218858291,-69.10000000000036,,10.4,13.820000000000121,-93.31999999999971,15,exit
2023-09-25,ensemble,0.026683145683817196,0.028597515664,-0.0019143699801828055,-2.0221493597839832,long_vol,long_straddle,432.23,432.0,2023-10-30,35,0.169108,0.169108,0.016305539305657767,0.005344376836406539,-74.85000000000036,,10.4,14.970000000000017,-100.21999999999935,15,exit
2023-10-02,ensemble,0.028320739235557606,0.031065120008999997,-0.002744380773442391,-1.5985833472044961,long_vol,long_straddle,427.31,427.0,2023-11-06,35,0.176253,0.176253,0.019863620179554856,0.020383328262853606,-78.0,,10.4,15.600000000000058,-104.0,15,exit
2023-10-09,ensemble,0.024197774874448037,0.031379642448999996,-0.00718186757455196,-1.772283205675017,long_vol,long_straddle,432.29,432.0,2023-11-13,35,0.177143,0.177143,0.02171517259436274,-0.02003284831941532,-79.10000000000036,,10.4,15.820000000000078,-105.31999999999971,15,exit
2023-10-16,ensemble,0.02569368555571744,0.029624950161,-0.003931264605282557,-1.096433726408234,long_vol,long_straddle,436.04,436.0,2023-11-20,35,0.172119,0.172119,0.027189397469014664,-0.04091367764425291,-74.85000000000036,,10.4,14.970000000000105,-100.21999999999935,15,exit
2023-10-23,ensemble,0.022887131553224183,0.041602945024000006,-0.018715813470775822,-2.292404759322079,long_vol,long_straddle,420.46,420.0,2023-11-27,35,0.203968,0.203968,0.02307759620878183,0.005232364553108715,-90.69999999999891,,10.4,18.14,-119.23999999999978,9,exit
2023-10-30,ensemble,0.022325291379829318,0.038913874756,-0.016588583376170682,-1.5955038683535718,long_vol,long_straddle,415.59,416.0,2023-12-04,35,0.197266,0.197266,0.01644804685340228,0.017011958901802293,-86.05000000000018,,10.4,17.210000000000036,-113.65999999999985,2,exit
2023-11-09,ensemble,0.03360412305669301,0.023357620223999998,0.010246502832693013,1.1970783077716958,short_vol,iron_butterfly,433.84,434.0,2023-12-14,35,0.15295025,0.15295025,0.01063734393487365,0.014636732435921118,-293.62500000000364,,52.0,58.72499999999997,-404.3500000000022,4,exit
2023-11-29,ensemble,0.023182639077295085,0.016813271556,0.006369367521295084,0.9533867382012323,short_vol,iron_butterfly,454.61,455.0,2023-12-29,30,0.12988425,0.12988425,0.009865947192437774,0.03827456501176818,-79.18750000000091,,26.0,15.837499999999988,-121.02500000000055,15,exit
