as_of_date,model_name,expected_variance,median_variance,lower_quantile,upper_quantile,monte_carlo_standard_error,heston_used,heston_failure,implied_variance,variance_edge,realized_variance,forecast_error,abs_error,edge_sign_correct
2022-03-23,ensemble,0.02604677096689903,0.02604677096689903,0.02604677096689903,0.02604677096689903,0.0,True,,0.055494638329,-0.02944786736210097,0.03551638702909233,-0.0094696160621933,0.0094696160621933,True
2022-03-24,ensemble,0.025047959183424777,0.025047959183424777,0.025047959183424777,0.025047959183424777,0.0,True,,0.047081622289,-0.022033663105575224,0.033231113668553434,-0.008183154485128658,0.008183154485128658,True
2022-03-25,ensemble,0.024994053675670418,0.024994053675670418,0.024994053675670418,0.024994053675670418,0.0,True,,0.043234469041,-0.018240415365329582,0.04331049212849104,-0.018316438452820626,0.018316438452820626,False
2022-03-28,ensemble,0.02509426890971669,0.02509426890971669,0.02509426890971669,0.02509426890971669,0.0,True,,0.03851563251600001,-0.013421363606283317,0.04280224967573704,-0.017707980766020353,0.017707980766020353,False
2022-03-29,ensemble,0.025569246672058486,0.025569246672058486,0.025569246672058486,0.025569246672058486,0.0,True,,0.035637510841,-0.010068264168941517,0.048455696484998166,-0.02288644981293968,0.02288644981293968,False
2022-03-30,ensemble,0.0258305135498442,0.0258305135498442,0.0258305135498442,0.0258305135498442,0.0,True,,0.037306149904,-0.011475636354155796,0.06501084207178948,-0.03918032852194528,0.03918032852194528,False
2022-03-31,ensemble,0.025089937081484933,0.025089937081484933,0.025089937081484933,0.025089937081484933,0.0,True,,0.042190392409,-0.017100455327515068,0.06255594664103296,-0.03746600955954803,0.03746600955954803,False
2022-04-01,ensemble,0.024994812751825853,0.024994812751825853,0.024994812751825853,0.024994812751825853,0.0,True,,0.03851720256399999,-0.01352238981217414,0.06271084442955606,-0.0377160316777302,0.0377160316777302,False
2022-04-04,ensemble,0.02513008021048193,0.02513008021048193,0.02513008021048193,0.02513008021048193,0.0,True,,0.034448102403999994,-0.009318022193518065,0.07263657757293111,-0.047506497362449183,0.047506497362449183,False
2022-04-05,ensemble,0.02532946169556941,0.02532946169556941,0.02532946169556941,0.02532946169556941,0.0,True,,0.044233240489,-0.01890377879343059,0.0864139510874828,-0.061084489391913396,0.061084489391913396,False
2022-04-06,ensemble,0.025104287997521773,0.025104287997521773,0.025104287997521773,0.025104287997521773,0.0,True,,0.048715111224999996,-0.023610823227478223,0.08563210459515626,-0.06052781659763448,0.06052781659763448,False
2022-04-07,ensemble,0.02506274849461371,0.02506274849461371,0.02506274849461371,0.02506274849461371,0.0,True,,0.046382944689,-0.021320196194386288,0.0980359959576243,-0.0729732474630106,0.0729732474630106,False
2022-04-08,ensemble,0.02497438036092736,0.02497438036092736,0.02497438036092736,0.02497438036092736,0.0,True,,0.044671358736,-0.01969697837507264,0.0980138813592718,-0.07303950099834444,0.07303950099834444,False
2022-04-11,ensemble,0.02583991377610208,0.02583991377610208,0.02583991377610208,0.02583991377610208,0.0,True,,0.059363860609,-0.033523946832897916,0.09752450090246313,-0.07168458712636105,0.07168458712636105,False
2022-04-12,ensemble,0.025280864914789106,0.025280864914789106,0.025280864914789106,0.025280864914789106,0.0,True,,0.05894844084900001,-0.0336675759342109,0.09737223554379981,-0.0720913706290107,0.0720913706290107,False
2022-04-13,ensemble,0.025377861179215873,0.025377861179215873,0.025377861179215873,0.025377861179215873,0.0,True,,0.047691134689,-0.022313273509784126,0.10251440629037835,-0.07713654511116247,0.07713654511116247,False
2022-04-14,ensemble,0.025571297113262344,0.025571297113262344,0.025571297113262344,0.025571297113262344,0.0,True,,0.051469543161,-0.025898246047737654,0.10082877806308384,-0.07525748094982149,0.07525748094982149,False
