date,equity,cash,stock_shares,stock_value,option_value,open_positions,unrealized_pnl,realized_pnl,hedge_pnl,cumulative_commissions,cumulative_slippage,drawdown,equity_peak
2022-12-07,980385.9967819997,1030181.9117819996,-9,-3538.44,-46257.475000000006,2,-1009.1074999999983,-17668.045000000046,2708.269641000021,1396.2,2986.8391089999795,-0.01961400321800033,1000000.0
2022-12-08,980358.2767819996,1030181.9117819996,-9,-3566.16,-46257.475000000006,2,-1009.1074999999983,-17668.045000000046,2708.269641000021,1396.2,2986.8391089999795,-0.019641723218000395,1000000.0
2022-12-09,980384.9167819996,1030181.9117819996,-9,-3539.5199999999995,-46257.475000000006,2,-1009.1074999999983,-17668.045000000046,2708.269641000021,1396.2,2986.8391089999795,-0.019615083218000318,1000000.0
2022-12-12,980333.8867819996,1030181.9117819996,-9,-3590.5499999999997,-46257.475000000006,2,-1009.1074999999983,-17668.045000000046,2708.269641000021,1396.2,2986.8391089999795,-0.01966611321800038,1000000.0
2022-12-13,979348.5417819996,1023345.8767819996,-9,-3617.7300000000005,-40379.604999999996,2,-711.0524999999943,-18924.265000000054,2708.269641000021,1471.6,3133.9666089999796,-0.020651458218000407,1000000.0
2022-12-14,979371.6717819996,1023345.8767819996,-9,-3594.6,-40379.604999999996,2,-711.0524999999943,-18924.265000000054,2708.269641000021,1471.6,3133.9666089999796,-0.020628328218000314,1000000.0
2022-12-15,979459.6017819996,1023345.8767819996,-9,-3506.67,-40379.604999999996,2,-711.0524999999943,-18924.265000000054,2708.269641000021,1471.6,3133.9666089999796,-0.020540398218000466,1000000.0
2022-12-16,979516.8417819996,1023345.8767819996,-9,-3449.43,-40379.604999999996,2,-711.0524999999943,-18924.265000000054,2708.269641000021,1471.6,3133.9666089999796,-0.020483158218000397,1000000.0
2022-12-19,979546.0917819996,1023345.8767819996,-9,-3420.18,-40379.604999999996,2,-711.0524999999943,-18924.265000000054,2708.269641000021,1471.6,3133.9666089999796,-0.020453908218000416,1000000.0
2022-12-20,978713.6017819996,1024953.5767819996,-9,-3424.86,-42815.115000000005,2,-776.8675000000076,-19686.260000000046,2708.269641000021,1544.3999999999999,3259.8016089999796,-0.02128639821800038,1000000.0
